nombre,ultima_actualizacion,dificultad,pista,PD,AMB,nGAIN,CONS,LEC,CLAMP,Q
Isaac Newton,,5,"Escribió una lista de sus pecados, incluyendo amenazar a sus padres con quemar su casa.",0.0231911763548851,0.6435131430625916,0.18750247473361284,0.7493928074836731,0.9504521994749817,1.0,0.3228117995996557
Isaac Newton,,4,"Su abuelo lo desheredó, a pesar de vivir en la misma casa.",0.01741364598274231,0.7739086151123047,0.20885144138491646,0.7781797051429749,0.9885697968735292,1.0,0.2989780016357495
Isaac Newton,,3,Desarrolló un carro de cuatro ruedas impulsado por una manivela que él accionaba desde su interior.,0.18164676427841187,0.5237367749214172,0.3685791207296217,0.8140645623207092,0.7861713873431271,1.0,0.42981744755760304
Isaac Newton,,3,"Escribió su obra más importante sobre óptica, Opticks, en 1704.",-0.002683475613594055,0.6480165719985962,0.1638742698952094,0.7672981023788452,0.9348686476851041,1.0,0.309545632716322
Isaac Newton,,2,"Nació en Woolsthorpe-by-Colsterworth, Lincolnshire, en 1643.",0.12001638114452362,0.6420717239379883,0.47228686957156873,0.7557945847511292,0.12697211516506995,1.0,0.3054828271415829
Isaac Newton,,2,"Su padre murió antes de que él naciera, en octubre de 1642.",0.07133844494819641,0.5947245955467224,0.2192683822570673,0.768639087677002,0.9930359108222379,1.0,0.36588208222820934
Isaac Newton,,1,Fue un físico y matemático que desarrolló las leyes de la física y la astronomía.,0.1330512911081314,0.6055719256401062,0.6370661890256065,0.7714537978172302,0.89604197061498,1.0,0.48618291367797883
Isaac Newton,,1,Es conocido por su trabajo en la gravedad y la creación de sus Principia.,0.13260987401008606,0.5522337555885315,0.37520319781307776,0.8031429648399353,0.981481368805864,1.0,0.4411064545360187
Ludwig van Beethoven,,5,Padeció saturnismo debido a la ingesta de agua contaminada con plomo.,0.1522907167673111,0.531101644039154,0.31344687242371894,0.7732367515563965,0.813223142213901,1.0,0.40313070636518916
Ludwig van Beethoven,,4,Su muerte se atribuye a una insuficiencia hepática que desencadenó un coma hepático.,-0.03096933290362358,0.89261794090271,0.2066044586364239,0.6533373594284058,0.5125742712080189,1.0,0.16288883557002734
Ludwig van Beethoven,,3,Compuso treinta y dos sonatas para piano y nueve sinfonías.,0.41863328218460083,0.32848361134529114,0.9420000866221138,0.7665169835090637,0.9631729371884395,1.0,0.727235093085057
Ludwig van Beethoven,,3,Su ópera Fidelio es una de sus obras más destacadas.,0.28817296028137207,0.4217802584171295,0.5681541041870888,0.7863115072250366,0.9937194664322172,1.0,0.5685513858753858
Ludwig van Beethoven,,2,Fue el último gran representante del clasicismo vienés.,0.2688925862312317,0.42492756247520447,0.5067723176770919,0.7896400690078735,0.7970568312888585,1.0,0.5163364952425996
Ludwig van Beethoven,,2,Su vida personal fue problemática debido a su creciente sordera.,0.052336618304252625,0.5403550267219543,0.07573368467623666,0.6921151280403137,0.7034956909518114,1.0,0.28042254538607014
Ludwig van Beethoven,,1,Fue un compositor y pianista alemán que influyó en la música del siglo XIX.,0.3596370816230774,0.41223809123039246,0.799831939237617,0.7957567572593689,0.9718516460241235,1.0,0.6533468491007002
Ludwig van Beethoven,,1,Es considerado uno de los más grandes compositores de la historia.,0.32392942905426025,0.4063666760921478,0.7664962096226834,0.7633558511734009,0.9283755604861675,1.0,0.6265844755003414
Galileo Galilei,,5,Descubrió la ley de la isocronismo de los péndulos como estudiante.,0.21660907566547394,0.49455925822257996,0.3667730040633746,0.7889953851699829,0.9283755604861675,1.0,0.46259159265468475
Galileo Galilei,,4,Fue hijo de un músico y matemático llamado Vincenzo.,0.08794927597045898,0.6382109522819519,0.5139599567733402,0.739614725112915,0.8073164733073912,1.0,0.41235424934307024
Galileo Galilei,,3,Observó manchas en el Sol y demostró que están en su superficie.,0.15549026429653168,0.4914720952510834,0.2241092033249397,0.7803952693939209,0.9812934900456455,1.0,0.41514251260844326
Galileo Galilei,,3,Descubrió las fases de Venus y su variación de tamaño.,0.3482907712459564,0.412824809551239,0.7828329942740186,0.7294451594352722,0.9794473782301052,1.0,0.6369945037268768
Galileo Galilei,,2,Nació en Pisa cuando esta pertenecía al Gran Ducado de Toscana.,0.18702583014965057,0.5150876641273499,0.3211067561939453,0.8047841787338257,0.9283755604861675,1.0,0.4391848485724432
Galileo Galilei,,2,Fue el mayor de siete hermanos y su madre se llamaba Giulia Ammannati.,0.04790002852678299,0.6455551981925964,0.21697924822666662,0.7751451730728149,0.9768562645406681,1.0,0.3438074460433549
Galileo Galilei,,1,Fue un astrónomo y físico italiano que desafió la teoría geocéntrica.,0.3959042727947235,0.3886401653289795,0.8790178510119406,0.7126821279525757,0.8825233290156224,1.0,0.6655749832794111
Galileo Galilei,,1,Es conocido por su defensa de la teoría heliocéntrica y su uso del método científico.,0.31351783871650696,0.3967244327068329,0.6964448814821335,0.7711860537528992,0.89604197061498,1.0,0.602703925402583
Albert Einstein,,5,Publicó su teoría de la relatividad especial en 1905 mientras trabajaba en la Oficina de Patentes de Berna.,0.2956317365169525,0.40989452600479126,0.6106689957045899,0.7796486020088196,0.8638921090281606,1.0,0.5658897978491093
Albert Einstein,,4,"Se nacionalizó suizo, austriaco y estadounidense después de su origen alemán.",0.1347009837627411,0.6320663690567017,0.5198533385664827,0.7313944101333618,0.5939169545202151,1.0,0.3920729967738674
Albert Einstein,,3,Desarrolló la idea de una religión cósmica y la publicó en el New York Times en 1930.,0.16265994310379028,0.4992733299732208,0.22498717757425313,0.7616603970527649,0.9831704636643297,1.0,0.411970773498748
Albert Einstein,,3,Publicó su trabajo sobre la teoría cuántica de gases ideales en 1924.,0.11429349333047867,0.5233008861541748,0.1842289548224546,0.7381623387336731,0.9695279667353559,1.0,0.3772906710473985
Albert Einstein,,2,Abandonó Alemania en 1932 debido al ascenso del nazismo.,0.10817452520132065,0.7111506462097168,0.9401056667781843,0.7128951549530029,0.8908383654464219,1.0,0.5308814446723891
Albert Einstein,,2,Se convirtió en profesor en el Institute for Advanced Study en Estados Unidos.,0.09865137934684753,0.5401296615600586,0.18795956248304138,0.7846295237541199,0.9437225590044364,1.0,0.3733320630303961
Albert Einstein,,1,Es considerado el científico más importante del siglo XX.,0.1457589566707611,0.5287210941314697,0.24990772944221382,0.7431221008300781,0.8073164733073912,1.0,0.3780735784788087
Albert Einstein,,1,Es famoso por su teoría de la relatividad y la fórmula E=mc².,0.329256534576416,0.39445239305496216,0.7730047934463496,0.7896401286125183,0.9695279667353559,1.0,0.6432922502755773
Karl Marx,,5,"Murió con una fuerte gripe, bronquitis y pleuresía en Londres en 1883.",0.11793152242898941,0.5858135223388672,0.32024506624373456,0.6103928685188293,0.9930359108222379,1.0,0.3844300890287665
Karl Marx,,4,Se trasladó a Argel por motivos de salud en 1882.,0.002412073314189911,0.7483440637588501,0.19650086525816057,0.7674780488014221,0.9965433750463223,1.0,0.29953266347438634
Karl Marx,,3,Escribió El 18 de brumario de Luis Bonaparte en 1852.,0.05810770392417908,0.6804742217063904,0.8371171280982895,0.8065823316574097,0.9886149068701869,1.0,0.5278940108681354
Karl Marx,,3,Publicó Crítica del Programa de Gotha en 1875.,0.13479839265346527,0.566639244556427,0.3798276882305629,0.7433372735977173,0.9738650692756922,1.0,0.4284965645540614
Karl Marx,,2,Murió apátrida en 1883 y fue enterrado en el cementerio de Highgate.,0.10324232280254364,0.5991195440292358,0.2813698095235639,0.81694096326828,0.9212896628294647,1.0,0.3860581463191075
Karl Marx,,2,Se casó con Jenny von Westphalen y tuvo hijos con ella.,0.01067913044244051,1.003804326057434,0.4878111303295994,0.7300837635993958,0.9970843054680703,1.0,0.30641306934835444
